zone,stand,sample,N_pct
hybrid,BSH,1,1.95
hybrid,BSH,2,2.01
hybrid,BSH,3,1.83
hybrid,BSH,4,1.69
hybrid,BSH,5,1.86
hybrid,BSH,6,1.1
hybrid,BSH,7,1.82
hybrid,FSH,1,1.48
hybrid,FSH,2,1.57
hybrid,FSH,3,1.73
hybrid,FSH,4,2.09
hybrid,FSH,5,1.69
hybrid,FSH,6,2.07
narrowleaf,HEN,1,1.67
narrowleaf,HEN,2,1.59
narrowleaf,HEN,3,1.38
narrowleaf,HEN,4,1.66
narrowleaf,HEN,5,1.66
narrowleaf,HEN,6,1.76
fremont,INT,1,1.81
fremont,INT,2,2.02
fremont,INT,3,1.87
fremont,INT,4,2.2
fremont,INT,5,2.33
fremont,INT,6,2.35
narrowleaf,LCO,1,1.83
narrowleaf,LCO,2,1.71
narrowleaf,LCO,3,2.06
narrowleaf,LCO,4,1.6
narrowleaf,LCO,5,1.92
narrowleaf,LCO,6,1.72
fremont,LVY,1,1.75
fremont,LVY,2,2.02
fremont,LVY,3,1.53
fremont,LVY,4,1.91
fremont,LVY,5,1.97
fremont,LVY,6,1.84
fremont,RRD,1,1.71
fremont,RRD,2,2.01
fremont,RRD,3,1.85
fremont,RRD,4,2.12
fremont,RRD,5,1.73
fremont,RRD,6,1.46
narrowleaf,UCO,1,1.83
narrowleaf,UCO,2,1.83
narrowleaf,UCO,3,1.88
narrowleaf,UCO,4,1.78
narrowleaf,UCO,5,2
narrowleaf,UCO,6,2.05
hybrid,UIN,1,1.63
hybrid,UIN,2,1.8
hybrid,UIN,3,1.4
hybrid,UIN,4,1.66
hybrid,UIN,5,1.56
hybrid,UIN,6,1.95
