zone,Soil_ID,GWC,fwt_g
hybrid,BSH-1,0.189,15.5
hybrid,BSH-2,0.162,15.03
hybrid,BSH-3,0.127,15.34
hybrid,BSH-4,0.162,15.43
hybrid,BSH-5,0.127,15.64
hybrid,BSH-6,0.124,15.09
hybrid,FSH-1,0.323,15.07
hybrid,FSH-2,0.263,15.37
hybrid,FSH-3,0.073,15.21
hybrid,FSH-4,0.216,15.56
hybrid,FSH-5,0.217,15.49
hybrid,FSH-6,0.117,15.06
narrowleaf,HEN-1,0.302,12.48
narrowleaf,HEN-2,0.315,13.96
narrowleaf,HEN-3,0.226,12.12
narrowleaf,HEN-4,0.25,12.22
narrowleaf,HEN-5,0.362,12.2
narrowleaf,HEN-6,0.304,11.98
fremont,INT-1,0.29,15.08
fremont,INT-2,0.305,15.12
fremont,INT-3,0.174,15.08
fremont,INT-4,0.114,15.15
fremont,INT-5,0.233,15.05
fremont,INT-6,0.178,15.03
narrowleaf,LCO-1,0.105,15.27
narrowleaf,LCO-2,0.084,15.64
narrowleaf,LCO-3,0.061,15.87
narrowleaf,LCO-4,0.097,15.45
narrowleaf,LCO-5,0.068,15.68
narrowleaf,LCO-6,0.082,15.89
fremont,LVY-1,0.166,15.22
fremont,LVY-2,0.066,15.03
fremont,LVY-3,0.081,15.06
fremont,LVY-4,0.153,15.96
fremont,LVY-5,0.227,15.07
fremont,LVY-6,0.266,15.25
fremont,RRD-1,0.27,15.05
fremont,RRD-2,0.305,15.49
fremont,RRD-3,0.314,15.18
fremont,RRD-4,0.312,15.49
fremont,RRD-5,0.23,15.11
fremont,RRD-6,0.19,15.3
narrowleaf,UCO-1,0.257,15.7
narrowleaf,UCO-2,0.148,15.81
narrowleaf,UCO-3,0.081,15.71
narrowleaf,UCO-4,0.106,15.92
narrowleaf,UCO-5,0.212,15.68
narrowleaf,UCO-6,0.224,15.8
hybrid,UIN-1,0.162,15.17
hybrid,UIN-2,0.249,15.48
hybrid,UIN-3,0.094,15.45
hybrid,UIN-4,0.224,15.28
hybrid,UIN-5,0.094,15.82
hybrid,UIN-6,0.241,15.21
